2.509166667E-1	1.276181611E0	3.420842444E0	1.496983439E1	5.492880895E0
3.348500000E-1	2.630870000E0	3.861763375E0	1.565022062E1	5.582489785E0
4.193666667E-1	3.893245545E0	4.354358529E0	1.486651658E1	5.661188316E0
5.021833333E-1	5.116881239E0	4.808439599E0	1.489214592E1	5.424135006E0
5.865333333E-1	6.383542578E0	5.261394183E0	1.535541944E1	5.525318271E0
6.698833333E-1	7.684647879E0	5.732395338E0	1.554046528E1	5.688888628E0
7.534833333E-1	8.982252985E0	6.212702513E0	1.506122210E1	5.531221094E0
8.366166667E-1	1.020321820E1	6.657338161E0	1.495343726E1	5.353093437E0
9.194500000E-1	1.148279929E1	7.107858441E0	1.524831635E1	7.172671855E0
1.003466667E0	1.275307483E1	7.856767950E0	1.565232742E1	5.194226132E0
1.086783333E0	1.410021553E1	7.976448233E0	1.697974238E1	2.403154358E0
1.172850000E0	1.559246428E1	8.258628649E0	1.849118785E1	2.915895036E0
1.255050000E0	1.719235218E1	8.464050543E0	1.982626855E1	1.718369267E0
1.337900000E0	1.890785603E1	8.545978095E0	2.012477179E1	4.257843921E-1
1.421450000E0	2.055766029E1	8.535251136E0	2.000625878E1	-1.066081916E0
1.504866667E0	2.225334614E1	8.367705558E0	2.060951131E1	-2.840389348E0
1.588616667E0	2.400402760E1	8.060275051E0	2.047938876E1	-4.412927774E0
1.672333333E0	2.567795408E1	7.629766177E0	1.951597204E1	-5.824324102E0
1.755050000E0	2.726753090E1	7.086318905E0	1.895401130E1	-7.374965460E0
1.839483333E0	2.884748507E1	6.396508412E0	1.858139252E1	-9.075059817E0
1.923150000E0	3.037475177E1	5.568767663E0	1.740449653E1	-1.082900152E1
2.007150000E0	3.175790284E1	4.585659223E0	1.599759592E1	-1.192547870E1
2.090516667E0	3.304990456E1	3.574563175E0	1.464772575E1	-1.241222856E1
2.173533333E0	3.420732740E1	2.510059366E0	1.293269670E1	-1.311836486E1
2.259033333E0	3.521253823E1	1.380881669E0	1.182221149E1	-1.361890840E1
2.341466667E0	3.618426332E1	2.326758795E-1	1.056394761E1	-1.391797526E1
2.425100000E0	3.697906453E1	-9.465124277E-1	9.855474429E0	-1.404764753E1
2.508800000E0	3.783231719E1	-2.116402296E0	1.022874324E1	-1.343844327E1
2.592633333E0	3.868953722E1	-3.193718142E0	1.084623354E1	-1.321678458E1
2.676550000E0	3.964604796E1	-4.326541761E0	1.160008737E1	-1.257921197E1
2.760150000E0	4.062932906E1	-5.297241329E0	1.216591118E1	-1.118403213E1
2.843683333E0	4.168045808E1	-6.196759940E0	1.373559577E1	-1.034235019E1
2.928366667E0	4.292622526E1	-7.026711623E0	1.561401136E1	-9.480416716E0
3.011150000E0	4.429146703E1	-7.782095845E0	1.659617125E1	-8.191699682E0
